"iron_s_s_25.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.140
401.00	0.144
402.00	0.148
403.00	0.152
404.00	0.156
405.00	0.160
406.00	0.164
407.00	0.168
408.00	0.172
409.00	0.176
410.00	0.180
411.00	0.184
412.00	0.187
413.00	0.191
414.00	0.195
415.00	0.198
416.00	0.202
417.00	0.205
418.00	0.208
419.00	0.212
420.00	0.215
421.00	0.218
422.00	0.221
423.00	0.224
424.00	0.227
425.00	0.230
426.00	0.233
427.00	0.236
428.00	0.239
429.00	0.242
430.00	0.244
431.00	0.247
432.00	0.249
433.00	0.252
434.00	0.254
435.00	0.256
436.00	0.259
437.00	0.261
438.00	0.263
439.00	0.265
440.00	0.267
441.00	0.269
442.00	0.271
443.00	0.273
444.00	0.274
445.00	0.276
446.00	0.278
447.00	0.280
448.00	0.281
449.00	0.283
450.00	0.285
451.00	0.287
452.00	0.289
453.00	0.291
454.00	0.293
455.00	0.296
456.00	0.298
457.00	0.301
458.00	0.303
459.00	0.306
460.00	0.309
461.00	0.312
462.00	0.315
463.00	0.318
464.00	0.321
465.00	0.324
466.00	0.327
467.00	0.330
468.00	0.332
469.00	0.335
470.00	0.337
471.00	0.340
472.00	0.342
473.00	0.344
474.00	0.346
475.00	0.347
476.00	0.348
477.00	0.349
478.00	0.350
479.00	0.351
480.00	0.352
481.00	0.353
482.00	0.353
483.00	0.354
484.00	0.354
485.00	0.354
486.00	0.355
487.00	0.355
488.00	0.356
489.00	0.356
490.00	0.357
491.00	0.358
492.00	0.359
493.00	0.360
494.00	0.361
495.00	0.362
496.00	0.364
497.00	0.366
498.00	0.368
499.00	0.369
500.00	0.371
501.00	0.373
502.00	0.375
503.00	0.376
504.00	0.378
505.00	0.380
506.00	0.381
507.00	0.382
508.00	0.382
509.00	0.383
510.00	0.382
511.00	0.382
512.00	0.381
513.00	0.379
514.00	0.377
515.00	0.375
516.00	0.372
517.00	0.369
518.00	0.365
519.00	0.360
520.00	0.355
521.00	0.350
522.00	0.344
523.00	0.337
524.00	0.330
525.00	0.323
526.00	0.315
527.00	0.307
528.00	0.298
529.00	0.290
530.00	0.281
531.00	0.272
532.00	0.262
533.00	0.252
534.00	0.243
535.00	0.234
536.00	0.223
537.00	0.214
538.00	0.204
539.00	0.195
540.00	0.185
541.00	0.175
542.00	0.166
543.00	0.157
544.00	0.149
545.00	0.141
546.00	0.132
547.00	0.125
548.00	0.118
549.00	0.112
550.00	0.106
551.00	0.100
552.00	0.095
553.00	0.090
554.00	0.085
555.00	0.080
556.00	0.076
557.00	0.072
558.00	0.068
559.00	0.064
560.00	0.061
561.00	0.057
562.00	0.054
563.00	0.051
564.00	0.048
565.00	0.046
566.00	0.043
567.00	0.041
568.00	0.039
569.00	0.037
570.00	0.036
571.00	0.034
572.00	0.032
573.00	0.031
574.00	0.029
575.00	0.028
576.00	0.027
577.00	0.026
578.00	0.024
579.00	0.023
580.00	0.022
581.00	0.021
582.00	0.020
583.00	0.019
584.00	0.018
585.00	0.018
586.00	0.017
587.00	0.016
588.00	0.015
589.00	0.015
590.00	0.014
591.00	0.013
592.00	0.013
593.00	0.012
594.00	0.012
595.00	0.011
596.00	0.010
597.00	0.010
598.00	0.009
599.00	0.009
600.00	0.008
601.00	0.008
602.00	0.008
603.00	0.007
604.00	0.007
605.00	0.006
606.00	0.006
607.00	0.006
608.00	0.006
609.00	0.005
610.00	0.005
611.00	0.005
612.00	0.004
613.00	0.004
614.00	0.004
615.00	0.004
616.00	0.004
617.00	0.003
618.00	0.003
619.00	0.003
620.00	0.003
621.00	0.003
622.00	0.003
623.00	0.003
624.00	0.003
625.00	0.002
626.00	0.002
627.00	0.002
628.00	0.002
629.00	0.002
630.00	0.002
631.00	0.002
632.00	0.002
633.00	0.002
634.00	0.002
635.00	0.001
636.00	0.001
637.00	0.001
638.00	0.001
639.00	0.001
640.00	0.001
641.00	0.001
642.00	0.001
643.00	0.001
644.00	0.001
645.00	0.001
646.00	0.001
647.00	0.001
648.00	0.001
649.00	0.001
650.00	0.001
651.00	0.001
652.00	0.001
653.00	0.001
654.00	0.001
655.00	0.001
656.00	0.001
657.00	0.001
658.00	0.001
659.00	0.001
660.00	0.001
661.00	0.001
662.00	0.001
663.00	0.001
664.00	0.001
665.00	0.001
666.00	0.001
667.00	0.001
668.00	0.001
669.00	0.001
670.00	0.001
671.00	0.001
672.00	0.001
673.00	0.001
674.00	0.001
675.00	0.001
676.00	0.001
677.00	0.001
678.00	0.001
679.00	0.001
680.00	0.001
681.00	0.001
682.00	0.001
683.00	0.001
684.00	0.001
685.00	0.001
686.00	0.001
687.00	0.001
688.00	0.001
689.00	0.001
690.00	0.001
691.00	0.001
692.00	0.001
693.00	0.001
694.00	0.001
695.00	0.001
696.00	0.000
697.00	0.001
698.00	0.001
699.00	0.001
700.00	0.000
