"iron_s_s_Shannon.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.443
401.00	0.455
402.00	0.466
403.00	0.478
404.00	0.490
405.00	0.501
406.00	0.513
407.00	0.524
408.00	0.535
409.00	0.546
410.00	0.557
411.00	0.568
412.00	0.579
413.00	0.589
414.00	0.599
415.00	0.609
416.00	0.620
417.00	0.630
418.00	0.639
419.00	0.648
420.00	0.657
421.00	0.666
422.00	0.676
423.00	0.685
424.00	0.694
425.00	0.702
426.00	0.711
427.00	0.719
428.00	0.727
429.00	0.736
430.00	0.743
431.00	0.751
432.00	0.758
433.00	0.765
434.00	0.772
435.00	0.779
436.00	0.786
437.00	0.793
438.00	0.799
439.00	0.806
440.00	0.812
441.00	0.818
442.00	0.823
443.00	0.828
444.00	0.834
445.00	0.838
446.00	0.843
447.00	0.849
448.00	0.853
449.00	0.859
450.00	0.864
451.00	0.870
452.00	0.876
453.00	0.883
454.00	0.889
455.00	0.896
456.00	0.904
457.00	0.912
458.00	0.920
459.00	0.928
460.00	0.938
461.00	0.947
462.00	0.956
463.00	0.965
464.00	0.974
465.00	0.983
466.00	0.992
467.00	1.000
468.00	1.009
469.00	1.017
470.00	1.024
471.00	1.031
472.00	1.037
473.00	1.043
474.00	1.048
475.00	1.053
476.00	1.057
477.00	1.060
478.00	1.063
479.00	1.066
480.00	1.068
481.00	1.069
482.00	1.071
483.00	1.072
484.00	1.073
485.00	1.074
486.00	1.076
487.00	1.077
488.00	1.079
489.00	1.080
490.00	1.082
491.00	1.085
492.00	1.088
493.00	1.092
494.00	1.095
495.00	1.100
496.00	1.105
497.00	1.110
498.00	1.115
499.00	1.120
500.00	1.126
501.00	1.131
502.00	1.136
503.00	1.141
504.00	1.146
505.00	1.150
506.00	1.154
507.00	1.157
508.00	1.159
509.00	1.160
510.00	1.160
511.00	1.159
512.00	1.156
513.00	1.151
514.00	1.145
515.00	1.138
516.00	1.129
517.00	1.119
518.00	1.107
519.00	1.093
520.00	1.078
521.00	1.061
522.00	1.043
523.00	1.023
524.00	1.001
525.00	0.978
526.00	0.953
527.00	0.928
528.00	0.903
529.00	0.877
530.00	0.849
531.00	0.820
532.00	0.790
533.00	0.760
534.00	0.732
535.00	0.705
536.00	0.672
537.00	0.643
538.00	0.613
539.00	0.585
540.00	0.557
541.00	0.529
542.00	0.501
543.00	0.474
544.00	0.449
545.00	0.424
546.00	0.400
547.00	0.378
548.00	0.357
549.00	0.338
550.00	0.320
551.00	0.303
552.00	0.287
553.00	0.272
554.00	0.257
555.00	0.244
556.00	0.230
557.00	0.217
558.00	0.206
559.00	0.194
560.00	0.184
561.00	0.174
562.00	0.165
563.00	0.156
564.00	0.147
565.00	0.139
566.00	0.132
567.00	0.125
568.00	0.119
569.00	0.113
570.00	0.107
571.00	0.102
572.00	0.097
573.00	0.093
574.00	0.088
575.00	0.084
576.00	0.080
577.00	0.076
578.00	0.073
579.00	0.069
580.00	0.066
581.00	0.063
582.00	0.060
583.00	0.057
584.00	0.055
585.00	0.052
586.00	0.050
587.00	0.048
588.00	0.046
589.00	0.043
590.00	0.041
591.00	0.039
592.00	0.038
593.00	0.036
594.00	0.034
595.00	0.032
596.00	0.030
597.00	0.029
598.00	0.027
599.00	0.026
600.00	0.024
601.00	0.023
602.00	0.022
603.00	0.021
604.00	0.019
605.00	0.018
606.00	0.017
607.00	0.016
608.00	0.015
609.00	0.015
610.00	0.014
611.00	0.013
612.00	0.012
613.00	0.012
614.00	0.011
615.00	0.010
616.00	0.010
617.00	0.009
618.00	0.009
619.00	0.008
620.00	0.008
621.00	0.008
622.00	0.007
623.00	0.007
624.00	0.007
625.00	0.006
626.00	0.006
627.00	0.006
628.00	0.005
629.00	0.005
630.00	0.005
631.00	0.005
632.00	0.004
633.00	0.004
634.00	0.004
635.00	0.004
636.00	0.003
637.00	0.003
638.00	0.003
639.00	0.003
640.00	0.003
641.00	0.003
642.00	0.003
643.00	0.003
644.00	0.002
645.00	0.002
646.00	0.002
647.00	0.002
648.00	0.002
649.00	0.002
650.00	0.002
651.00	0.001
652.00	0.001
653.00	0.001
654.00	0.001
655.00	0.001
656.00	0.001
657.00	0.001
658.00	0.001
659.00	0.001
660.00	0.001
661.00	0.001
662.00	0.001
663.00	0.001
664.00	0.001
665.00	0.001
666.00	0.001
667.00	0.001
668.00	0.001
669.00	0.001
670.00	0.001
671.00	0.001
672.00	0.001
673.00	0.001
674.00	0.001
675.00	0.001
676.00	0.000
677.00	0.000
678.00	0.001
679.00	0.000
680.00	0.000
681.00	0.000
682.00	0.000
683.00	0.000
684.00	0.001
685.00	0.001
686.00	0.000
687.00	0.001
688.00	0.001
689.00	0.000
690.00	0.000
691.00	0.000
692.00	0.000
693.00	0.000
694.00	0.000
695.00	0.000
696.00	0.000
697.00	0.000
698.00	0.001
699.00	0.000
700.00	0.000
