"iron_s_s_Shannon_1-10d.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.048
401.00	0.050
402.00	0.051
403.00	0.053
404.00	0.054
405.00	0.056
406.00	0.058
407.00	0.059
408.00	0.061
409.00	0.062
410.00	0.064
411.00	0.066
412.00	0.067
413.00	0.069
414.00	0.071
415.00	0.072
416.00	0.074
417.00	0.075
418.00	0.077
419.00	0.078
420.00	0.079
421.00	0.080
422.00	0.082
423.00	0.083
424.00	0.084
425.00	0.085
426.00	0.086
427.00	0.087
428.00	0.088
429.00	0.089
430.00	0.090
431.00	0.091
432.00	0.092
433.00	0.093
434.00	0.094
435.00	0.095
436.00	0.096
437.00	0.096
438.00	0.097
439.00	0.098
440.00	0.099
441.00	0.099
442.00	0.100
443.00	0.100
444.00	0.101
445.00	0.101
446.00	0.102
447.00	0.103
448.00	0.103
449.00	0.104
450.00	0.105
451.00	0.105
452.00	0.106
453.00	0.107
454.00	0.108
455.00	0.109
456.00	0.110
457.00	0.112
458.00	0.113
459.00	0.114
460.00	0.116
461.00	0.117
462.00	0.119
463.00	0.120
464.00	0.122
465.00	0.123
466.00	0.125
467.00	0.126
468.00	0.127
469.00	0.128
470.00	0.130
471.00	0.131
472.00	0.132
473.00	0.133
474.00	0.134
475.00	0.135
476.00	0.136
477.00	0.136
478.00	0.137
479.00	0.137
480.00	0.137
481.00	0.138
482.00	0.138
483.00	0.139
484.00	0.139
485.00	0.139
486.00	0.139
487.00	0.140
488.00	0.140
489.00	0.140
490.00	0.140
491.00	0.141
492.00	0.141
493.00	0.142
494.00	0.142
495.00	0.142
496.00	0.143
497.00	0.144
498.00	0.144
499.00	0.145
500.00	0.145
501.00	0.146
502.00	0.147
503.00	0.147
504.00	0.148
505.00	0.148
506.00	0.149
507.00	0.149
508.00	0.149
509.00	0.149
510.00	0.149
511.00	0.148
512.00	0.148
513.00	0.147
514.00	0.146
515.00	0.145
516.00	0.144
517.00	0.142
518.00	0.141
519.00	0.138
520.00	0.136
521.00	0.134
522.00	0.131
523.00	0.128
524.00	0.125
525.00	0.121
526.00	0.118
527.00	0.114
528.00	0.110
529.00	0.106
530.00	0.102
531.00	0.098
532.00	0.094
533.00	0.089
534.00	0.085
535.00	0.081
536.00	0.077
537.00	0.072
538.00	0.068
539.00	0.064
540.00	0.060
541.00	0.055
542.00	0.051
543.00	0.048
544.00	0.044
545.00	0.040
546.00	0.037
547.00	0.034
548.00	0.031
549.00	0.028
550.00	0.025
551.00	0.023
552.00	0.021
553.00	0.019
554.00	0.016
555.00	0.015
556.00	0.013
557.00	0.011
558.00	0.009
559.00	0.007
560.00	0.006
561.00	0.005
562.00	0.003
563.00	0.002
564.00	0.001
565.00	-0.000
566.00	-0.001
567.00	-0.002
568.00	-0.003
569.00	-0.004
570.00	-0.005
571.00	-0.006
572.00	-0.006
573.00	-0.007
574.00	-0.008
575.00	-0.008
576.00	-0.009
577.00	-0.009
578.00	-0.010
579.00	-0.010
580.00	-0.011
581.00	-0.011
582.00	-0.012
583.00	-0.012
584.00	-0.012
585.00	-0.013
586.00	-0.013
587.00	-0.013
588.00	-0.014
589.00	-0.014
590.00	-0.014
591.00	-0.015
592.00	-0.015
593.00	-0.015
594.00	-0.016
595.00	-0.016
596.00	-0.016
597.00	-0.017
598.00	-0.017
599.00	-0.017
600.00	-0.017
601.00	-0.017
602.00	-0.018
603.00	-0.018
604.00	-0.018
605.00	-0.018
606.00	-0.018
607.00	-0.019
608.00	-0.019
609.00	-0.019
610.00	-0.019
611.00	-0.019
612.00	-0.019
613.00	-0.019
614.00	-0.020
615.00	-0.020
616.00	-0.020
617.00	-0.020
618.00	-0.020
619.00	-0.020
620.00	-0.020
621.00	-0.020
622.00	-0.020
623.00	-0.020
624.00	-0.020
625.00	-0.020
626.00	-0.020
627.00	-0.021
628.00	-0.021
629.00	-0.021
630.00	-0.021
631.00	-0.021
632.00	-0.021
633.00	-0.021
634.00	-0.021
635.00	-0.021
636.00	-0.021
637.00	-0.021
638.00	-0.021
639.00	-0.021
640.00	-0.021
641.00	-0.021
642.00	-0.021
643.00	-0.021
644.00	-0.021
645.00	-0.021
646.00	-0.021
647.00	-0.021
648.00	-0.021
649.00	-0.021
650.00	-0.021
651.00	-0.022
652.00	-0.022
653.00	-0.022
654.00	-0.022
655.00	-0.022
656.00	-0.022
657.00	-0.022
658.00	-0.022
659.00	-0.022
660.00	-0.022
661.00	-0.022
662.00	-0.022
663.00	-0.022
664.00	-0.022
665.00	-0.022
666.00	-0.022
667.00	-0.022
668.00	-0.022
669.00	-0.022
670.00	-0.022
671.00	-0.022
672.00	-0.022
673.00	-0.022
674.00	-0.022
675.00	-0.022
676.00	-0.022
677.00	-0.022
678.00	-0.022
679.00	-0.022
680.00	-0.023
681.00	-0.023
682.00	-0.023
683.00	-0.023
684.00	-0.023
685.00	-0.023
686.00	-0.023
687.00	-0.023
688.00	-0.023
689.00	-0.023
690.00	-0.023
691.00	-0.023
692.00	-0.023
693.00	-0.023
694.00	-0.023
695.00	-0.023
696.00	-0.023
697.00	-0.023
698.00	-0.023
699.00	-0.023
700.00	-0.023
