"0.4 ppm.spc - RawData"
"Wavelength nm."	"Abs."
400.00	-0.001
402.00	-0.001
404.00	-0.001
406.00	-0.001
408.00	-0.001
410.00	-0.001
412.00	-0.001
414.00	-0.002
416.00	-0.002
418.00	-0.002
420.00	-0.002
422.00	-0.002
424.00	-0.002
426.00	-0.002
428.00	-0.001
430.00	-0.001
432.00	-0.001
434.00	-0.001
436.00	-0.001
438.00	-0.001
440.00	-0.001
442.00	-0.001
444.00	-0.001
446.00	-0.001
448.00	-0.001
450.00	-0.001
452.00	-0.001
454.00	-0.001
456.00	-0.001
458.00	-0.001
460.00	-0.001
462.00	-0.000
464.00	-0.000
466.00	-0.000
468.00	-0.000
470.00	-0.000
472.00	-0.000
474.00	0.000
476.00	0.000
478.00	0.000
480.00	0.000
482.00	-0.000
484.00	-0.000
486.00	-0.000
488.00	0.000
490.00	0.000
492.00	0.000
494.00	0.001
496.00	0.001
498.00	0.001
500.00	0.002
502.00	0.002
504.00	0.002
506.00	0.002
508.00	0.002
510.00	0.002
512.00	0.002
514.00	0.002
516.00	0.002
518.00	0.002
520.00	0.002
522.00	0.002
524.00	0.002
526.00	0.002
528.00	0.002
530.00	0.002
532.00	0.002
534.00	0.002
536.00	0.002
538.00	0.003
540.00	0.003
542.00	0.003
544.00	0.003
546.00	0.003
548.00	0.003
550.00	0.003
552.00	0.003
554.00	0.003
556.00	0.003
558.00	0.003
560.00	0.003
562.00	0.003
564.00	0.003
566.00	0.003
568.00	0.003
570.00	0.003
572.00	0.003
574.00	0.003
576.00	0.003
578.00	0.003
580.00	0.004
582.00	0.004
584.00	0.004
586.00	0.004
588.00	0.004
590.00	0.004
592.00	0.004
594.00	0.004
596.00	0.004
598.00	0.004
600.00	0.004
602.00	0.004
604.00	0.004
606.00	0.004
608.00	0.004
610.00	0.004
612.00	0.004
614.00	0.005
616.00	0.005
618.00	0.005
620.00	0.005
622.00	0.005
624.00	0.005
626.00	0.005
628.00	0.005
630.00	0.005
632.00	0.005
634.00	0.005
636.00	0.005
638.00	0.005
640.00	0.006
642.00	0.006
644.00	0.006
646.00	0.006
648.00	0.006
650.00	0.006
652.00	0.006
654.00	0.006
656.00	0.006
658.00	0.006
660.00	0.006
662.00	0.006
664.00	0.006
666.00	0.006
668.00	0.007
670.00	0.007
672.00	0.007
674.00	0.007
676.00	0.007
678.00	0.007
680.00	0.007
682.00	0.007
684.00	0.007
686.00	0.007
688.00	0.007
690.00	0.007
692.00	0.008
694.00	0.008
696.00	0.008
698.00	0.008
700.00	0.008
702.00	0.008
704.00	0.008
706.00	0.008
708.00	0.008
710.00	0.009
712.00	0.008
714.00	0.009
716.00	0.009
718.00	0.009
720.00	0.009
722.00	0.009
724.00	0.009
726.00	0.010
728.00	0.010
730.00	0.010
732.00	0.010
734.00	0.010
736.00	0.010
738.00	0.010
740.00	0.011
742.00	0.011
744.00	0.011
746.00	0.012
748.00	0.011
750.00	0.012
752.00	0.012
754.00	0.012
756.00	0.013
758.00	0.013
760.00	0.013
762.00	0.013
764.00	0.013
766.00	0.014
768.00	0.014
770.00	0.014
772.00	0.014
774.00	0.015
776.00	0.015
778.00	0.015
780.00	0.016
782.00	0.016
784.00	0.016
786.00	0.016
788.00	0.017
790.00	0.017
792.00	0.017
794.00	0.017
796.00	0.018
798.00	0.018
800.00	0.018
802.00	0.018
804.00	0.019
806.00	0.019
808.00	0.019
810.00	0.019
812.00	0.019
814.00	0.019
816.00	0.019
818.00	0.020
820.00	0.020
822.00	0.019
824.00	0.020
826.00	0.020
828.00	0.019
830.00	0.020
832.00	0.020
834.00	0.019
836.00	0.019
838.00	0.019
840.00	0.018
842.00	0.019
844.00	0.018
846.00	0.017
848.00	0.018
850.00	0.017
852.00	0.016
854.00	0.017
856.00	0.016
858.00	0.015
860.00	0.016
862.00	0.014
864.00	0.014
866.00	0.015
868.00	0.013
870.00	0.014
872.00	0.012
874.00	0.014
876.00	0.011
878.00	0.011
880.00	0.013
882.00	0.011
884.00	0.011
886.00	0.010
888.00	0.010
890.00	0.009
892.00	0.009
894.00	0.008
896.00	0.010
898.00	0.009
900.00	0.009
902.00	0.011
904.00	0.011
906.00	0.011
908.00	0.007
910.00	0.004
912.00	0.009
914.00	0.013
916.00	0.009
918.00	0.014
920.00	0.011
922.00	0.006
924.00	0.006
926.00	0.007
928.00	0.012
930.00	0.011
932.00	0.012
934.00	0.013
936.00	0.008
938.00	0.015
940.00	0.020
942.00	0.016
944.00	0.007
946.00	0.014
948.00	0.014
950.00	0.015
952.00	0.013
954.00	0.017
956.00	0.013
958.00	0.020
960.00	0.004
962.00	0.010
964.00	0.011
966.00	0.009
968.00	0.010
970.00	0.011
972.00	0.016
974.00	0.020
976.00	0.026
978.00	0.022
980.00	0.013
982.00	0.010
984.00	0.019
986.00	0.023
988.00	0.014
990.00	0.009
992.00	0.015
994.00	0.015
996.00	0.013
998.00	0.019
1000.00	0.018
