"0.08.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.005
402.00	0.005
404.00	0.004
406.00	0.004
408.00	0.004
410.00	0.004
412.00	0.004
414.00	0.003
416.00	0.003
418.00	0.003
420.00	0.003
422.00	0.003
424.00	0.003
426.00	0.003
428.00	0.003
430.00	0.003
432.00	0.004
434.00	0.003
436.00	0.004
438.00	0.004
440.00	0.004
442.00	0.004
444.00	0.004
446.00	0.004
448.00	0.005
450.00	0.005
452.00	0.005
454.00	0.005
456.00	0.005
458.00	0.006
460.00	0.006
462.00	0.006
464.00	0.007
466.00	0.007
468.00	0.007
470.00	0.007
472.00	0.007
474.00	0.007
476.00	0.008
478.00	0.008
480.00	0.008
482.00	0.008
484.00	0.008
486.00	0.008
488.00	0.008
490.00	0.008
492.00	0.009
494.00	0.009
496.00	0.010
498.00	0.010
500.00	0.011
502.00	0.011
504.00	0.011
506.00	0.011
508.00	0.012
510.00	0.012
512.00	0.012
514.00	0.012
516.00	0.013
518.00	0.013
520.00	0.013
522.00	0.013
524.00	0.014
526.00	0.013
528.00	0.014
530.00	0.014
532.00	0.014
534.00	0.014
536.00	0.014
538.00	0.015
540.00	0.015
542.00	0.016
544.00	0.016
546.00	0.016
548.00	0.016
550.00	0.017
552.00	0.017
554.00	0.017
556.00	0.017
558.00	0.018
560.00	0.018
562.00	0.018
564.00	0.018
566.00	0.019
568.00	0.019
570.00	0.019
572.00	0.019
574.00	0.020
576.00	0.020
578.00	0.020
580.00	0.021
582.00	0.021
584.00	0.021
586.00	0.021
588.00	0.022
590.00	0.022
592.00	0.022
594.00	0.022
596.00	0.023
598.00	0.023
600.00	0.023
602.00	0.023
604.00	0.023
606.00	0.024
608.00	0.024
610.00	0.024
612.00	0.024
614.00	0.025
616.00	0.025
618.00	0.025
620.00	0.025
622.00	0.025
624.00	0.025
626.00	0.026
628.00	0.026
630.00	0.026
632.00	0.026
634.00	0.026
636.00	0.026
638.00	0.026
640.00	0.027
642.00	0.027
644.00	0.027
646.00	0.027
648.00	0.027
650.00	0.027
652.00	0.027
654.00	0.028
656.00	0.028
658.00	0.028
660.00	0.028
662.00	0.028
664.00	0.028
666.00	0.028
668.00	0.029
670.00	0.029
672.00	0.029
674.00	0.029
676.00	0.029
678.00	0.030
680.00	0.030
682.00	0.030
684.00	0.030
686.00	0.030
688.00	0.031
690.00	0.031
692.00	0.031
694.00	0.032
696.00	0.032
698.00	0.032
700.00	0.033
702.00	0.033
704.00	0.033
706.00	0.034
708.00	0.034
710.00	0.035
712.00	0.035
714.00	0.036
716.00	0.036
718.00	0.037
720.00	0.037
722.00	0.038
724.00	0.038
726.00	0.039
728.00	0.040
730.00	0.040
732.00	0.041
734.00	0.042
736.00	0.043
738.00	0.044
740.00	0.045
742.00	0.046
744.00	0.047
746.00	0.047
748.00	0.049
750.00	0.049
752.00	0.050
754.00	0.052
756.00	0.053
758.00	0.054
760.00	0.055
762.00	0.056
764.00	0.057
766.00	0.059
768.00	0.060
770.00	0.061
772.00	0.062
774.00	0.063
776.00	0.065
778.00	0.066
780.00	0.067
782.00	0.068
784.00	0.070
786.00	0.071
788.00	0.072
790.00	0.073
792.00	0.074
794.00	0.076
796.00	0.077
798.00	0.078
800.00	0.079
802.00	0.080
804.00	0.081
806.00	0.082
808.00	0.082
810.00	0.083
812.00	0.084
814.00	0.084
816.00	0.085
818.00	0.085
820.00	0.085
822.00	0.086
824.00	0.086
826.00	0.086
828.00	0.086
830.00	0.085
832.00	0.085
834.00	0.085
836.00	0.084
838.00	0.083
840.00	0.082
842.00	0.082
844.00	0.080
846.00	0.079
848.00	0.078
850.00	0.076
852.00	0.075
854.00	0.072
856.00	0.070
858.00	0.070
860.00	0.066
862.00	0.066
864.00	0.064
866.00	0.061
868.00	0.061
870.00	0.057
872.00	0.057
874.00	0.054
876.00	0.053
878.00	0.050
880.00	0.049
882.00	0.048
884.00	0.045
886.00	0.048
888.00	0.043
890.00	0.043
892.00	0.039
894.00	0.040
896.00	0.037
898.00	0.037
900.00	0.032
902.00	0.038
904.00	0.038
906.00	0.033
908.00	0.033
910.00	0.033
912.00	0.034
914.00	0.037
916.00	0.035
918.00	0.039
920.00	0.029
922.00	0.038
924.00	0.038
926.00	0.039
928.00	0.034
930.00	0.034
932.00	0.035
934.00	0.039
936.00	0.034
938.00	0.041
940.00	0.045
942.00	0.035
944.00	0.038
946.00	0.050
948.00	0.040
950.00	0.039
952.00	0.042
954.00	0.034
956.00	0.050
958.00	0.051
960.00	0.040
962.00	0.044
964.00	0.039
966.00	0.052
968.00	0.048
970.00	0.041
972.00	0.054
974.00	0.051
976.00	0.051
978.00	0.046
980.00	0.056
982.00	0.045
984.00	0.047
986.00	0.060
988.00	0.047
990.00	0.053
992.00	0.064
994.00	0.062
996.00	0.052
998.00	0.058
1000.00	0.060
