"1_10.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.342
402.00	0.329
404.00	0.317
406.00	0.307
408.00	0.298
410.00	0.290
412.00	0.284
414.00	0.279
416.00	0.275
418.00	0.273
420.00	0.272
422.00	0.273
424.00	0.274
426.00	0.276
428.00	0.280
430.00	0.284
432.00	0.288
434.00	0.294
436.00	0.300
438.00	0.306
440.00	0.314
442.00	0.321
444.00	0.328
446.00	0.336
448.00	0.344
450.00	0.352
452.00	0.361
454.00	0.369
456.00	0.378
458.00	0.386
460.00	0.395
462.00	0.403
464.00	0.412
466.00	0.420
468.00	0.428
470.00	0.436
472.00	0.443
474.00	0.451
476.00	0.459
478.00	0.466
480.00	0.473
482.00	0.480
484.00	0.487
486.00	0.494
488.00	0.502
490.00	0.510
492.00	0.518
494.00	0.526
496.00	0.535
498.00	0.544
500.00	0.552
502.00	0.561
504.00	0.570
506.00	0.580
508.00	0.589
510.00	0.599
512.00	0.609
514.00	0.619
516.00	0.630
518.00	0.640
520.00	0.651
522.00	0.663
524.00	0.675
526.00	0.688
528.00	0.700
530.00	0.713
532.00	0.727
534.00	0.738
536.00	0.752
538.00	0.766
540.00	0.781
542.00	0.794
544.00	0.808
546.00	0.823
548.00	0.836
550.00	0.849
552.00	0.862
554.00	0.876
556.00	0.890
558.00	0.904
560.00	0.918
562.00	0.932
564.00	0.947
566.00	0.961
568.00	0.975
570.00	0.989
572.00	1.003
574.00	1.016
576.00	1.029
578.00	1.043
580.00	1.056
582.00	1.069
584.00	1.082
586.00	1.094
588.00	1.106
590.00	1.118
592.00	1.130
594.00	1.143
596.00	1.155
598.00	1.167
600.00	1.179
602.00	1.190
604.00	1.201
606.00	1.211
608.00	1.221
610.00	1.231
612.00	1.240
614.00	1.249
616.00	1.258
618.00	1.266
620.00	1.274
622.00	1.281
624.00	1.289
626.00	1.296
628.00	1.303
630.00	1.310
632.00	1.317
634.00	1.322
636.00	1.328
638.00	1.333
640.00	1.339
642.00	1.344
644.00	1.349
646.00	1.354
648.00	1.360
650.00	1.363
652.00	1.368
654.00	1.372
656.00	1.377
658.00	1.383
660.00	1.388
662.00	1.393
664.00	1.399
666.00	1.405
668.00	1.412
670.00	1.417
672.00	1.424
674.00	1.432
676.00	1.440
678.00	1.448
680.00	1.456
682.00	1.466
684.00	1.475
686.00	1.484
688.00	1.495
690.00	1.506
692.00	1.519
694.00	1.532
696.00	1.547
698.00	1.562
700.00	1.578
702.00	1.595
704.00	1.613
706.00	1.632
708.00	1.652
710.00	1.672
712.00	1.695
714.00	1.718
716.00	1.740
718.00	1.764
720.00	1.789
722.00	1.816
724.00	1.847
726.00	1.880
728.00	1.913
730.00	1.948
732.00	1.985
734.00	2.021
736.00	2.059
738.00	2.098
740.00	2.139
742.00	2.183
744.00	2.227
746.00	2.271
748.00	2.315
750.00	2.362
752.00	2.407
754.00	2.458
756.00	2.510
758.00	2.560
760.00	2.627
762.00	2.682
764.00	2.748
766.00	2.797
768.00	2.862
770.00	2.921
772.00	2.981
774.00	3.036
776.00	3.101
778.00	3.156
780.00	3.209
782.00	3.281
784.00	3.336
786.00	3.400
788.00	3.476
790.00	3.567
792.00	3.621
794.00	3.682
796.00	3.755
798.00	3.842
800.00	3.842
802.00	4.096
804.00	4.096
806.00	4.096
808.00	4.316
810.00	4.316
812.00	4.316
814.00	4.791
816.00	4.316
818.00	4.316
820.00	4.791
822.00	4.791
824.00	4.791
826.00	4.791
828.00	4.791
830.00	4.791
832.00	4.791
834.00	4.316
836.00	4.791
838.00	4.791
840.00	4.316
842.00	4.316
844.00	4.096
846.00	3.950
848.00	3.842
850.00	3.755
852.00	3.621
854.00	3.519
856.00	3.418
858.00	3.321
860.00	3.198
862.00	3.146
864.00	3.022
866.00	2.926
868.00	2.828
870.00	2.726
872.00	2.630
874.00	2.533
876.00	2.443
878.00	2.342
880.00	2.251
882.00	2.174
884.00	2.082
886.00	2.009
888.00	1.932
890.00	1.861
892.00	1.789
894.00	1.719
896.00	1.649
898.00	1.578
900.00	1.520
902.00	1.471
904.00	1.411
906.00	1.378
908.00	1.333
910.00	1.305
912.00	1.258
914.00	1.230
916.00	1.220
918.00	1.181
920.00	1.170
922.00	1.141
924.00	1.125
926.00	1.109
928.00	1.094
930.00	1.089
932.00	1.073
934.00	1.066
936.00	1.041
938.00	1.051
940.00	1.061
942.00	1.090
944.00	1.109
946.00	1.111
948.00	1.144
950.00	1.125
952.00	1.152
954.00	1.170
956.00	1.186
958.00	1.191
960.00	1.209
962.00	1.202
964.00	1.215
966.00	1.205
968.00	1.215
970.00	1.189
972.00	1.195
974.00	1.221
976.00	1.217
978.00	1.185
980.00	1.246
982.00	1.203
984.00	1.222
986.00	1.249
988.00	1.238
990.00	1.240
992.00	1.246
994.00	1.285
996.00	1.304
998.00	1.345
1000.00	1.324
