"20 ppm.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.384
402.00	0.369
404.00	0.354
406.00	0.342
408.00	0.332
410.00	0.323
412.00	0.316
414.00	0.310
416.00	0.306
418.00	0.304
420.00	0.303
422.00	0.303
424.00	0.305
426.00	0.307
428.00	0.311
430.00	0.316
432.00	0.322
434.00	0.328
436.00	0.335
438.00	0.343
440.00	0.352
442.00	0.361
444.00	0.370
446.00	0.379
448.00	0.388
450.00	0.398
452.00	0.409
454.00	0.419
456.00	0.429
458.00	0.440
460.00	0.450
462.00	0.460
464.00	0.470
466.00	0.480
468.00	0.489
470.00	0.499
472.00	0.508
474.00	0.517
476.00	0.526
478.00	0.535
480.00	0.543
482.00	0.551
484.00	0.559
486.00	0.567
488.00	0.576
490.00	0.585
492.00	0.594
494.00	0.604
496.00	0.614
498.00	0.624
500.00	0.635
502.00	0.645
504.00	0.655
506.00	0.667
508.00	0.678
510.00	0.691
512.00	0.703
514.00	0.715
516.00	0.727
518.00	0.740
520.00	0.753
522.00	0.767
524.00	0.782
526.00	0.796
528.00	0.811
530.00	0.827
532.00	0.842
534.00	0.856
536.00	0.873
538.00	0.889
540.00	0.905
542.00	0.921
544.00	0.938
546.00	0.954
548.00	0.971
550.00	0.986
552.00	1.002
554.00	1.018
556.00	1.035
558.00	1.052
560.00	1.069
562.00	1.086
564.00	1.104
566.00	1.121
568.00	1.137
570.00	1.154
572.00	1.170
574.00	1.185
576.00	1.201
578.00	1.217
580.00	1.231
582.00	1.247
584.00	1.261
586.00	1.275
588.00	1.289
590.00	1.304
592.00	1.318
594.00	1.333
596.00	1.347
598.00	1.362
600.00	1.377
602.00	1.390
604.00	1.403
606.00	1.415
608.00	1.427
610.00	1.439
612.00	1.451
614.00	1.461
616.00	1.471
618.00	1.480
620.00	1.489
622.00	1.498
624.00	1.506
626.00	1.514
628.00	1.523
630.00	1.530
632.00	1.538
634.00	1.545
636.00	1.551
638.00	1.558
640.00	1.564
642.00	1.570
644.00	1.576
646.00	1.582
648.00	1.587
650.00	1.593
652.00	1.597
654.00	1.603
656.00	1.609
658.00	1.614
660.00	1.621
662.00	1.627
664.00	1.633
666.00	1.641
668.00	1.648
670.00	1.656
672.00	1.663
674.00	1.672
676.00	1.681
678.00	1.691
680.00	1.700
682.00	1.712
684.00	1.722
686.00	1.734
688.00	1.747
690.00	1.760
692.00	1.774
694.00	1.790
696.00	1.807
698.00	1.825
700.00	1.844
702.00	1.863
704.00	1.883
706.00	1.907
708.00	1.930
710.00	1.955
712.00	1.981
714.00	2.007
716.00	2.033
718.00	2.061
720.00	2.094
722.00	2.125
724.00	2.159
726.00	2.198
728.00	2.239
730.00	2.280
732.00	2.320
734.00	2.365
736.00	2.412
738.00	2.462
740.00	2.510
742.00	2.557
744.00	2.613
746.00	2.666
748.00	2.719
750.00	2.772
752.00	2.833
754.00	2.904
756.00	2.956
758.00	3.022
760.00	3.101
762.00	3.177
764.00	3.232
766.00	3.307
768.00	3.400
770.00	3.476
772.00	3.567
774.00	3.621
776.00	3.682
778.00	3.842
780.00	3.950
782.00	4.096
784.00	4.096
786.00	4.316
788.00	4.316
790.00	4.791
792.00	5.000
794.00	5.000
796.00	5.000
798.00	5.000
800.00	5.000
802.00	5.000
804.00	5.000
806.00	5.000
808.00	5.000
810.00	5.000
812.00	5.000
814.00	5.000
816.00	5.000
818.00	5.000
820.00	5.000
822.00	5.000
824.00	5.000
826.00	5.000
828.00	5.000
830.00	5.000
832.00	5.000
834.00	5.000
836.00	5.000
838.00	5.000
840.00	5.000
842.00	5.000
844.00	5.000
846.00	5.000
848.00	5.000
850.00	5.000
852.00	5.000
854.00	4.791
856.00	4.791
858.00	4.316
860.00	4.096
862.00	3.755
864.00	3.682
866.00	3.497
868.00	3.383
870.00	3.255
872.00	3.118
874.00	2.975
876.00	2.888
878.00	2.760
880.00	2.651
882.00	2.550
884.00	2.447
886.00	2.366
888.00	2.273
890.00	2.168
892.00	2.104
894.00	2.016
896.00	1.923
898.00	1.856
900.00	1.786
902.00	1.711
904.00	1.665
906.00	1.612
908.00	1.558
910.00	1.518
912.00	1.468
914.00	1.430
916.00	1.390
918.00	1.373
920.00	1.330
922.00	1.318
924.00	1.291
926.00	1.278
928.00	1.258
930.00	1.218
932.00	1.236
934.00	1.219
936.00	1.212
938.00	1.205
940.00	1.229
942.00	1.237
944.00	1.224
946.00	1.243
948.00	1.248
950.00	1.290
952.00	1.301
954.00	1.309
956.00	1.324
958.00	1.343
960.00	1.322
962.00	1.327
964.00	1.342
966.00	1.328
968.00	1.333
970.00	1.298
972.00	1.346
974.00	1.305
976.00	1.316
978.00	1.321
980.00	1.367
982.00	1.385
984.00	1.368
986.00	1.361
988.00	1.414
990.00	1.399
992.00	1.363
994.00	1.409
996.00	1.423
998.00	1.410
1000.00	1.483
