"rainbow falls.spc - RawData"
"Wavelength nm."	"Abs."
400.00	-0.008
402.00	-0.008
404.00	-0.007
406.00	-0.007
408.00	-0.007
410.00	-0.007
412.00	-0.007
414.00	-0.007
416.00	-0.007
418.00	-0.007
420.00	-0.007
422.00	-0.007
424.00	-0.006
426.00	-0.007
428.00	-0.007
430.00	-0.007
432.00	-0.007
434.00	-0.007
436.00	-0.007
438.00	-0.007
440.00	-0.008
442.00	-0.008
444.00	-0.008
446.00	-0.009
448.00	-0.009
450.00	-0.009
452.00	-0.010
454.00	-0.010
456.00	-0.010
458.00	-0.011
460.00	-0.011
462.00	-0.012
464.00	-0.012
466.00	-0.012
468.00	-0.013
470.00	-0.013
472.00	-0.013
474.00	-0.013
476.00	-0.014
478.00	-0.014
480.00	-0.014
482.00	-0.015
484.00	-0.015
486.00	-0.016
488.00	-0.015
490.00	-0.016
492.00	-0.016
494.00	-0.016
496.00	-0.016
498.00	-0.016
500.00	-0.016
502.00	-0.016
504.00	-0.017
506.00	-0.017
508.00	-0.018
510.00	-0.018
512.00	-0.018
514.00	-0.019
516.00	-0.019
518.00	-0.020
520.00	-0.020
522.00	-0.021
524.00	-0.021
526.00	-0.022
528.00	-0.022
530.00	-0.023
532.00	-0.024
534.00	-0.024
536.00	-0.025
538.00	-0.025
540.00	-0.026
542.00	-0.027
544.00	-0.027
546.00	-0.028
548.00	-0.029
550.00	-0.029
552.00	-0.030
554.00	-0.031
556.00	-0.031
558.00	-0.032
560.00	-0.033
562.00	-0.033
564.00	-0.034
566.00	-0.034
568.00	-0.035
570.00	-0.036
572.00	-0.036
574.00	-0.037
576.00	-0.038
578.00	-0.038
580.00	-0.039
582.00	-0.039
584.00	-0.040
586.00	-0.040
588.00	-0.040
590.00	-0.041
592.00	-0.041
594.00	-0.042
596.00	-0.042
598.00	-0.043
600.00	-0.043
602.00	-0.043
604.00	-0.044
606.00	-0.044
608.00	-0.045
610.00	-0.045
612.00	-0.045
614.00	-0.046
616.00	-0.046
618.00	-0.046
620.00	-0.046
622.00	-0.047
624.00	-0.047
626.00	-0.047
628.00	-0.047
630.00	-0.048
632.00	-0.048
634.00	-0.048
636.00	-0.048
638.00	-0.049
640.00	-0.049
642.00	-0.049
644.00	-0.049
646.00	-0.049
648.00	-0.049
650.00	-0.049
652.00	-0.049
654.00	-0.050
656.00	-0.050
658.00	-0.050
660.00	-0.050
662.00	-0.050
664.00	-0.050
666.00	-0.050
668.00	-0.051
670.00	-0.051
672.00	-0.051
674.00	-0.051
676.00	-0.051
678.00	-0.052
680.00	-0.052
682.00	-0.052
684.00	-0.053
686.00	-0.053
688.00	-0.053
690.00	-0.054
692.00	-0.054
694.00	-0.055
696.00	-0.055
698.00	-0.056
700.00	-0.056
702.00	-0.057
704.00	-0.057
706.00	-0.058
708.00	-0.059
710.00	-0.060
712.00	-0.061
714.00	-0.061
716.00	-0.062
718.00	-0.063
720.00	-0.064
722.00	-0.065
724.00	-0.067
726.00	-0.068
728.00	-0.069
730.00	-0.071
732.00	-0.072
734.00	-0.074
736.00	-0.075
738.00	-0.077
740.00	-0.078
742.00	-0.080
744.00	-0.082
746.00	-0.083
748.00	-0.085
750.00	-0.087
752.00	-0.089
754.00	-0.091
756.00	-0.092
758.00	-0.094
760.00	-0.096
762.00	-0.099
764.00	-0.101
766.00	-0.103
768.00	-0.105
770.00	-0.107
772.00	-0.109
774.00	-0.111
776.00	-0.113
778.00	-0.115
780.00	-0.117
782.00	-0.118
784.00	-0.120
786.00	-0.122
788.00	-0.124
790.00	-0.125
792.00	-0.127
794.00	-0.128
796.00	-0.130
798.00	-0.131
800.00	-0.132
802.00	-0.133
804.00	-0.134
806.00	-0.135
808.00	-0.135
810.00	-0.135
812.00	-0.136
814.00	-0.136
816.00	-0.136
818.00	-0.135
820.00	-0.134
822.00	-0.134
824.00	-0.133
826.00	-0.132
828.00	-0.131
830.00	-0.130
832.00	-0.127
834.00	-0.125
836.00	-0.124
838.00	-0.121
840.00	-0.119
842.00	-0.116
844.00	-0.113
846.00	-0.111
848.00	-0.108
850.00	-0.105
852.00	-0.103
854.00	-0.099
856.00	-0.096
858.00	-0.092
860.00	-0.089
862.00	-0.086
864.00	-0.083
866.00	-0.082
868.00	-0.077
870.00	-0.077
872.00	-0.073
874.00	-0.071
876.00	-0.068
878.00	-0.067
880.00	-0.065
882.00	-0.063
884.00	-0.061
886.00	-0.059
888.00	-0.061
890.00	-0.057
892.00	-0.058
894.00	-0.055
896.00	-0.053
898.00	-0.052
900.00	-0.052
902.00	-0.051
904.00	-0.049
906.00	-0.053
908.00	-0.053
910.00	-0.052
912.00	-0.054
914.00	-0.050
916.00	-0.053
918.00	-0.053
920.00	-0.056
922.00	-0.059
924.00	-0.057
926.00	-0.049
928.00	-0.060
930.00	-0.057
932.00	-0.064
934.00	-0.055
936.00	-0.061
938.00	-0.057
940.00	-0.062
942.00	-0.065
944.00	-0.073
946.00	-0.067
948.00	-0.076
950.00	-0.075
952.00	-0.079
954.00	-0.085
956.00	-0.084
958.00	-0.093
960.00	-0.083
962.00	-0.091
964.00	-0.093
966.00	-0.080
968.00	-0.086
970.00	-0.084
972.00	-0.086
974.00	-0.089
976.00	-0.084
978.00	-0.086
980.00	-0.082
982.00	-0.086
984.00	-0.087
986.00	-0.074
988.00	-0.091
990.00	-0.092
992.00	-0.097
994.00	-0.085
996.00	-0.090
998.00	-0.078
1000.00	-0.083
