"blue 2mg_L.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.084
401.00	0.085
402.00	0.085
403.00	0.086
404.00	0.086
405.00	0.086
406.00	0.086
407.00	0.086
408.00	0.085
409.00	0.085
410.00	0.085
411.00	0.084
412.00	0.083
413.00	0.083
414.00	0.082
415.00	0.081
416.00	0.080
417.00	0.079
418.00	0.078
419.00	0.077
420.00	0.076
421.00	0.074
422.00	0.073
423.00	0.072
424.00	0.072
425.00	0.071
426.00	0.070
427.00	0.069
428.00	0.068
429.00	0.068
430.00	0.067
431.00	0.067
432.00	0.066
433.00	0.066
434.00	0.065
435.00	0.065
436.00	0.065
437.00	0.065
438.00	0.064
439.00	0.064
440.00	0.064
441.00	0.064
442.00	0.064
443.00	0.064
444.00	0.063
445.00	0.063
446.00	0.063
447.00	0.063
448.00	0.063
449.00	0.063
450.00	0.063
451.00	0.063
452.00	0.063
453.00	0.063
454.00	0.063
455.00	0.063
456.00	0.063
457.00	0.063
458.00	0.063
459.00	0.063
460.00	0.062
461.00	0.062
462.00	0.062
463.00	0.062
464.00	0.062
465.00	0.062
466.00	0.062
467.00	0.062
468.00	0.062
469.00	0.062
470.00	0.062
471.00	0.062
472.00	0.061
473.00	0.061
474.00	0.061
475.00	0.061
476.00	0.061
477.00	0.061
478.00	0.061
479.00	0.061
480.00	0.061
481.00	0.061
482.00	0.060
483.00	0.060
484.00	0.060
485.00	0.060
486.00	0.060
487.00	0.060
488.00	0.060
489.00	0.061
490.00	0.061
491.00	0.061
492.00	0.061
493.00	0.062
494.00	0.062
495.00	0.062
496.00	0.062
497.00	0.063
498.00	0.063
499.00	0.063
500.00	0.063
501.00	0.063
502.00	0.063
503.00	0.063
504.00	0.064
505.00	0.064
506.00	0.064
507.00	0.064
508.00	0.064
509.00	0.064
510.00	0.064
511.00	0.064
512.00	0.064
513.00	0.065
514.00	0.065
515.00	0.065
516.00	0.065
517.00	0.065
518.00	0.065
519.00	0.066
520.00	0.066
521.00	0.066
522.00	0.066
523.00	0.066
524.00	0.066
525.00	0.067
526.00	0.067
527.00	0.067
528.00	0.067
529.00	0.067
530.00	0.067
531.00	0.068
532.00	0.068
533.00	0.068
534.00	0.068
535.00	0.068
536.00	0.068
537.00	0.068
538.00	0.069
539.00	0.069
540.00	0.069
541.00	0.070
542.00	0.070
543.00	0.070
544.00	0.071
545.00	0.071
546.00	0.072
547.00	0.072
548.00	0.073
549.00	0.073
550.00	0.074
551.00	0.074
552.00	0.075
553.00	0.075
554.00	0.076
555.00	0.077
556.00	0.078
557.00	0.078
558.00	0.079
559.00	0.080
560.00	0.081
561.00	0.082
562.00	0.083
563.00	0.084
564.00	0.085
565.00	0.087
566.00	0.088
567.00	0.089
568.00	0.091
569.00	0.092
570.00	0.093
571.00	0.094
572.00	0.095
573.00	0.097
574.00	0.098
575.00	0.099
576.00	0.100
577.00	0.101
578.00	0.102
579.00	0.104
580.00	0.105
581.00	0.106
582.00	0.107
583.00	0.108
584.00	0.109
585.00	0.110
586.00	0.111
587.00	0.112
588.00	0.113
589.00	0.114
590.00	0.115
591.00	0.116
592.00	0.117
593.00	0.119
594.00	0.120
595.00	0.122
596.00	0.124
597.00	0.126
598.00	0.128
599.00	0.130
600.00	0.133
601.00	0.135
602.00	0.138
603.00	0.141
604.00	0.144
605.00	0.147
606.00	0.150
607.00	0.154
608.00	0.157
609.00	0.161
610.00	0.166
611.00	0.170
612.00	0.174
613.00	0.179
614.00	0.183
615.00	0.187
616.00	0.191
617.00	0.195
618.00	0.199
619.00	0.203
620.00	0.207
621.00	0.210
622.00	0.213
623.00	0.216
624.00	0.219
625.00	0.221
626.00	0.223
627.00	0.224
628.00	0.224
629.00	0.224
630.00	0.224
631.00	0.222
632.00	0.220
633.00	0.217
634.00	0.214
635.00	0.210
636.00	0.206
637.00	0.201
638.00	0.196
639.00	0.190
640.00	0.185
641.00	0.178
642.00	0.172
643.00	0.165
644.00	0.159
645.00	0.152
646.00	0.146
647.00	0.140
648.00	0.134
649.00	0.128
650.00	0.123
651.00	0.118
652.00	0.113
653.00	0.109
654.00	0.105
655.00	0.101
656.00	0.097
657.00	0.094
658.00	0.090
659.00	0.087
660.00	0.084
661.00	0.081
662.00	0.078
663.00	0.076
664.00	0.074
665.00	0.072
666.00	0.070
667.00	0.068
668.00	0.067
669.00	0.066
670.00	0.065
671.00	0.063
672.00	0.063
673.00	0.062
674.00	0.061
675.00	0.060
676.00	0.060
677.00	0.059
678.00	0.058
679.00	0.058
680.00	0.058
681.00	0.057
682.00	0.057
683.00	0.056
684.00	0.056
685.00	0.056
686.00	0.056
687.00	0.056
688.00	0.056
689.00	0.055
690.00	0.055
691.00	0.055
692.00	0.055
693.00	0.055
694.00	0.055
695.00	0.055
696.00	0.055
697.00	0.055
698.00	0.055
699.00	0.055
700.00	0.055
