"purple crush 1_5d.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.245
401.00	0.247
402.00	0.248
403.00	0.249
404.00	0.251
405.00	0.252
406.00	0.253
407.00	0.253
408.00	0.254
409.00	0.254
410.00	0.254
411.00	0.254
412.00	0.253
413.00	0.253
414.00	0.252
415.00	0.252
416.00	0.251
417.00	0.250
418.00	0.249
419.00	0.248
420.00	0.247
421.00	0.246
422.00	0.245
423.00	0.245
424.00	0.244
425.00	0.243
426.00	0.242
427.00	0.242
428.00	0.241
429.00	0.241
430.00	0.241
431.00	0.240
432.00	0.241
433.00	0.241
434.00	0.241
435.00	0.242
436.00	0.243
437.00	0.245
438.00	0.246
439.00	0.248
440.00	0.251
441.00	0.253
442.00	0.256
443.00	0.259
444.00	0.262
445.00	0.266
446.00	0.270
447.00	0.274
448.00	0.278
449.00	0.283
450.00	0.288
451.00	0.294
452.00	0.299
453.00	0.305
454.00	0.311
455.00	0.318
456.00	0.324
457.00	0.331
458.00	0.338
459.00	0.344
460.00	0.352
461.00	0.359
462.00	0.367
463.00	0.374
464.00	0.381
465.00	0.389
466.00	0.396
467.00	0.404
468.00	0.411
469.00	0.419
470.00	0.426
471.00	0.434
472.00	0.442
473.00	0.450
474.00	0.458
475.00	0.466
476.00	0.474
477.00	0.482
478.00	0.490
479.00	0.498
480.00	0.506
481.00	0.513
482.00	0.521
483.00	0.528
484.00	0.535
485.00	0.542
486.00	0.549
487.00	0.556
488.00	0.562
489.00	0.569
490.00	0.575
491.00	0.580
492.00	0.586
493.00	0.590
494.00	0.595
495.00	0.599
496.00	0.601
497.00	0.604
498.00	0.606
499.00	0.608
500.00	0.609
501.00	0.610
502.00	0.610
503.00	0.610
504.00	0.609
505.00	0.608
506.00	0.607
507.00	0.605
508.00	0.603
509.00	0.601
510.00	0.599
511.00	0.596
512.00	0.594
513.00	0.591
514.00	0.588
515.00	0.586
516.00	0.583
517.00	0.581
518.00	0.578
519.00	0.575
520.00	0.572
521.00	0.569
522.00	0.566
523.00	0.562
524.00	0.559
525.00	0.555
526.00	0.551
527.00	0.547
528.00	0.543
529.00	0.538
530.00	0.533
531.00	0.528
532.00	0.522
533.00	0.516
534.00	0.510
535.00	0.503
536.00	0.495
537.00	0.487
538.00	0.479
539.00	0.470
540.00	0.461
541.00	0.451
542.00	0.441
543.00	0.430
544.00	0.419
545.00	0.408
546.00	0.396
547.00	0.384
548.00	0.373
549.00	0.361
550.00	0.350
551.00	0.339
552.00	0.328
553.00	0.317
554.00	0.306
555.00	0.295
556.00	0.284
557.00	0.274
558.00	0.264
559.00	0.254
560.00	0.245
561.00	0.236
562.00	0.227
563.00	0.220
564.00	0.212
565.00	0.205
566.00	0.199
567.00	0.194
568.00	0.189
569.00	0.185
570.00	0.181
571.00	0.178
572.00	0.175
573.00	0.173
574.00	0.171
575.00	0.169
576.00	0.167
577.00	0.166
578.00	0.165
579.00	0.164
580.00	0.163
581.00	0.163
582.00	0.162
583.00	0.162
584.00	0.162
585.00	0.162
586.00	0.163
587.00	0.163
588.00	0.164
589.00	0.165
590.00	0.165
591.00	0.166
592.00	0.168
593.00	0.169
594.00	0.171
595.00	0.173
596.00	0.175
597.00	0.178
598.00	0.181
599.00	0.184
600.00	0.188
601.00	0.191
602.00	0.196
603.00	0.200
604.00	0.205
605.00	0.210
606.00	0.215
607.00	0.221
608.00	0.227
609.00	0.233
610.00	0.240
611.00	0.246
612.00	0.253
613.00	0.260
614.00	0.267
615.00	0.274
616.00	0.281
617.00	0.287
618.00	0.293
619.00	0.299
620.00	0.305
621.00	0.311
622.00	0.316
623.00	0.321
624.00	0.325
625.00	0.329
626.00	0.332
627.00	0.334
628.00	0.335
629.00	0.335
630.00	0.334
631.00	0.332
632.00	0.329
633.00	0.325
634.00	0.319
635.00	0.313
636.00	0.307
637.00	0.299
638.00	0.291
639.00	0.282
640.00	0.273
641.00	0.264
642.00	0.254
643.00	0.243
644.00	0.233
645.00	0.222
646.00	0.212
647.00	0.201
648.00	0.191
649.00	0.182
650.00	0.174
651.00	0.166
652.00	0.158
653.00	0.150
654.00	0.143
655.00	0.137
656.00	0.130
657.00	0.124
658.00	0.118
659.00	0.113
660.00	0.108
661.00	0.103
662.00	0.098
663.00	0.094
664.00	0.091
665.00	0.087
666.00	0.084
667.00	0.081
668.00	0.079
669.00	0.077
670.00	0.075
671.00	0.073
672.00	0.071
673.00	0.070
674.00	0.068
675.00	0.067
676.00	0.066
677.00	0.065
678.00	0.064
679.00	0.063
680.00	0.062
681.00	0.062
682.00	0.061
683.00	0.060
684.00	0.060
685.00	0.060
686.00	0.059
687.00	0.059
688.00	0.059
689.00	0.058
690.00	0.058
691.00	0.058
692.00	0.057
693.00	0.057
694.00	0.057
695.00	0.057
696.00	0.057
697.00	0.057
698.00	0.057
699.00	0.057
700.00	0.057
