"red 16mg_L.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.234
401.00	0.234
402.00	0.235
403.00	0.235
404.00	0.236
405.00	0.237
406.00	0.237
407.00	0.237
408.00	0.238
409.00	0.239
410.00	0.239
411.00	0.240
412.00	0.240
413.00	0.241
414.00	0.242
415.00	0.242
416.00	0.243
417.00	0.244
418.00	0.244
419.00	0.245
420.00	0.246
421.00	0.246
422.00	0.247
423.00	0.248
424.00	0.248
425.00	0.249
426.00	0.249
427.00	0.250
428.00	0.250
429.00	0.251
430.00	0.252
431.00	0.252
432.00	0.253
433.00	0.254
434.00	0.255
435.00	0.257
436.00	0.258
437.00	0.260
438.00	0.262
439.00	0.265
440.00	0.268
441.00	0.271
442.00	0.275
443.00	0.278
444.00	0.283
445.00	0.287
446.00	0.291
447.00	0.296
448.00	0.301
449.00	0.307
450.00	0.313
451.00	0.319
452.00	0.325
453.00	0.332
454.00	0.339
455.00	0.346
456.00	0.353
457.00	0.361
458.00	0.369
459.00	0.376
460.00	0.385
461.00	0.393
462.00	0.402
463.00	0.410
464.00	0.418
465.00	0.427
466.00	0.435
467.00	0.444
468.00	0.452
469.00	0.461
470.00	0.469
471.00	0.478
472.00	0.487
473.00	0.495
474.00	0.505
475.00	0.514
476.00	0.523
477.00	0.532
478.00	0.541
479.00	0.549
480.00	0.558
481.00	0.566
482.00	0.574
483.00	0.582
484.00	0.590
485.00	0.597
486.00	0.605
487.00	0.612
488.00	0.620
489.00	0.627
490.00	0.633
491.00	0.639
492.00	0.644
493.00	0.649
494.00	0.654
495.00	0.658
496.00	0.661
497.00	0.664
498.00	0.666
499.00	0.668
500.00	0.668
501.00	0.669
502.00	0.669
503.00	0.668
504.00	0.667
505.00	0.665
506.00	0.663
507.00	0.661
508.00	0.658
509.00	0.655
510.00	0.652
511.00	0.649
512.00	0.646
513.00	0.642
514.00	0.639
515.00	0.635
516.00	0.632
517.00	0.628
518.00	0.624
519.00	0.620
520.00	0.616
521.00	0.612
522.00	0.608
523.00	0.604
524.00	0.599
525.00	0.594
526.00	0.589
527.00	0.584
528.00	0.578
529.00	0.572
530.00	0.566
531.00	0.559
532.00	0.552
533.00	0.544
534.00	0.536
535.00	0.528
536.00	0.519
537.00	0.509
538.00	0.499
539.00	0.488
540.00	0.476
541.00	0.465
542.00	0.452
543.00	0.439
544.00	0.426
545.00	0.413
546.00	0.399
547.00	0.386
548.00	0.372
549.00	0.358
550.00	0.345
551.00	0.332
552.00	0.319
553.00	0.305
554.00	0.292
555.00	0.279
556.00	0.266
557.00	0.253
558.00	0.240
559.00	0.228
560.00	0.216
561.00	0.204
562.00	0.193
563.00	0.183
564.00	0.173
565.00	0.163
566.00	0.154
567.00	0.147
568.00	0.139
569.00	0.132
570.00	0.126
571.00	0.120
572.00	0.115
573.00	0.110
574.00	0.106
575.00	0.102
576.00	0.098
577.00	0.095
578.00	0.091
579.00	0.089
580.00	0.086
581.00	0.083
582.00	0.081
583.00	0.079
584.00	0.078
585.00	0.076
586.00	0.075
587.00	0.073
588.00	0.072
589.00	0.071
590.00	0.070
591.00	0.069
592.00	0.068
593.00	0.067
594.00	0.066
595.00	0.066
596.00	0.065
597.00	0.065
598.00	0.064
599.00	0.064
600.00	0.063
601.00	0.063
602.00	0.063
603.00	0.062
604.00	0.062
605.00	0.062
606.00	0.061
607.00	0.061
608.00	0.061
609.00	0.061
610.00	0.060
611.00	0.060
612.00	0.060
613.00	0.060
614.00	0.060
615.00	0.060
616.00	0.059
617.00	0.059
618.00	0.059
619.00	0.059
620.00	0.059
621.00	0.059
622.00	0.059
623.00	0.059
624.00	0.059
625.00	0.058
626.00	0.058
627.00	0.058
628.00	0.058
629.00	0.058
630.00	0.058
631.00	0.058
632.00	0.058
633.00	0.058
634.00	0.058
635.00	0.057
636.00	0.057
637.00	0.057
638.00	0.057
639.00	0.057
640.00	0.057
641.00	0.057
642.00	0.057
643.00	0.057
644.00	0.057
645.00	0.057
646.00	0.057
647.00	0.057
648.00	0.057
649.00	0.057
650.00	0.057
651.00	0.057
652.00	0.057
653.00	0.056
654.00	0.057
655.00	0.057
656.00	0.056
657.00	0.056
658.00	0.056
659.00	0.056
660.00	0.056
661.00	0.056
662.00	0.056
663.00	0.056
664.00	0.056
665.00	0.056
666.00	0.056
667.00	0.056
668.00	0.056
669.00	0.056
670.00	0.056
671.00	0.056
672.00	0.056
673.00	0.056
674.00	0.056
675.00	0.056
676.00	0.056
677.00	0.056
678.00	0.056
679.00	0.056
680.00	0.056
681.00	0.056
682.00	0.056
683.00	0.056
684.00	0.056
685.00	0.056
686.00	0.056
687.00	0.056
688.00	0.056
689.00	0.056
690.00	0.056
691.00	0.056
692.00	0.057
693.00	0.057
694.00	0.056
695.00	0.057
696.00	0.057
697.00	0.057
698.00	0.057
699.00	0.057
700.00	0.057
