"red 4mg_L.txt.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.103
401.00	0.103
402.00	0.102
403.00	0.102
404.00	0.102
405.00	0.102
406.00	0.102
407.00	0.102
408.00	0.101
409.00	0.101
410.00	0.101
411.00	0.101
412.00	0.101
413.00	0.101
414.00	0.100
415.00	0.100
416.00	0.100
417.00	0.100
418.00	0.100
419.00	0.100
420.00	0.100
421.00	0.100
422.00	0.100
423.00	0.100
424.00	0.100
425.00	0.100
426.00	0.100
427.00	0.099
428.00	0.099
429.00	0.099
430.00	0.099
431.00	0.099
432.00	0.100
433.00	0.100
434.00	0.100
435.00	0.100
436.00	0.100
437.00	0.101
438.00	0.101
439.00	0.102
440.00	0.102
441.00	0.103
442.00	0.104
443.00	0.104
444.00	0.105
445.00	0.106
446.00	0.107
447.00	0.108
448.00	0.109
449.00	0.110
450.00	0.111
451.00	0.112
452.00	0.113
453.00	0.115
454.00	0.116
455.00	0.117
456.00	0.119
457.00	0.120
458.00	0.122
459.00	0.123
460.00	0.125
461.00	0.126
462.00	0.128
463.00	0.129
464.00	0.131
465.00	0.133
466.00	0.134
467.00	0.136
468.00	0.137
469.00	0.139
470.00	0.141
471.00	0.142
472.00	0.144
473.00	0.146
474.00	0.147
475.00	0.149
476.00	0.151
477.00	0.152
478.00	0.154
479.00	0.156
480.00	0.157
481.00	0.159
482.00	0.160
483.00	0.161
484.00	0.163
485.00	0.165
486.00	0.166
487.00	0.168
488.00	0.169
489.00	0.171
490.00	0.172
491.00	0.174
492.00	0.175
493.00	0.177
494.00	0.178
495.00	0.179
496.00	0.180
497.00	0.181
498.00	0.182
499.00	0.182
500.00	0.183
501.00	0.183
502.00	0.184
503.00	0.184
504.00	0.184
505.00	0.184
506.00	0.184
507.00	0.183
508.00	0.183
509.00	0.183
510.00	0.182
511.00	0.181
512.00	0.181
513.00	0.180
514.00	0.179
515.00	0.179
516.00	0.178
517.00	0.177
518.00	0.176
519.00	0.175
520.00	0.175
521.00	0.174
522.00	0.173
523.00	0.172
524.00	0.170
525.00	0.169
526.00	0.168
527.00	0.166
528.00	0.165
529.00	0.164
530.00	0.162
531.00	0.160
532.00	0.158
533.00	0.156
534.00	0.155
535.00	0.153
536.00	0.150
537.00	0.147
538.00	0.145
539.00	0.143
540.00	0.140
541.00	0.138
542.00	0.135
543.00	0.132
544.00	0.130
545.00	0.127
546.00	0.124
547.00	0.121
548.00	0.118
549.00	0.115
550.00	0.112
551.00	0.109
552.00	0.106
553.00	0.104
554.00	0.101
555.00	0.098
556.00	0.095
557.00	0.093
558.00	0.090
559.00	0.088
560.00	0.085
561.00	0.083
562.00	0.081
563.00	0.079
564.00	0.077
565.00	0.075
566.00	0.073
567.00	0.072
568.00	0.071
569.00	0.069
570.00	0.068
571.00	0.067
572.00	0.066
573.00	0.065
574.00	0.064
575.00	0.064
576.00	0.063
577.00	0.062
578.00	0.062
579.00	0.061
580.00	0.061
581.00	0.060
582.00	0.060
583.00	0.060
584.00	0.059
585.00	0.059
586.00	0.059
587.00	0.059
588.00	0.058
589.00	0.058
590.00	0.058
591.00	0.058
592.00	0.058
593.00	0.057
594.00	0.057
595.00	0.057
596.00	0.057
597.00	0.057
598.00	0.057
599.00	0.057
600.00	0.057
601.00	0.057
602.00	0.057
603.00	0.057
604.00	0.057
605.00	0.057
606.00	0.057
607.00	0.057
608.00	0.057
609.00	0.057
610.00	0.056
611.00	0.056
612.00	0.056
613.00	0.056
614.00	0.056
615.00	0.056
616.00	0.056
617.00	0.056
618.00	0.056
619.00	0.056
620.00	0.056
621.00	0.056
622.00	0.056
623.00	0.056
624.00	0.056
625.00	0.056
626.00	0.056
627.00	0.056
628.00	0.055
629.00	0.055
630.00	0.055
631.00	0.055
632.00	0.055
633.00	0.055
634.00	0.055
635.00	0.055
636.00	0.055
637.00	0.055
638.00	0.055
639.00	0.054
640.00	0.054
641.00	0.054
642.00	0.054
643.00	0.054
644.00	0.054
645.00	0.054
646.00	0.054
647.00	0.054
648.00	0.054
649.00	0.054
650.00	0.054
651.00	0.054
652.00	0.054
653.00	0.054
654.00	0.054
655.00	0.054
656.00	0.054
657.00	0.054
658.00	0.054
659.00	0.054
660.00	0.053
661.00	0.053
662.00	0.054
663.00	0.054
664.00	0.054
665.00	0.054
666.00	0.053
667.00	0.053
668.00	0.054
669.00	0.053
670.00	0.053
671.00	0.053
672.00	0.053
673.00	0.053
674.00	0.053
675.00	0.053
676.00	0.053
677.00	0.053
678.00	0.053
679.00	0.054
680.00	0.054
681.00	0.053
682.00	0.053
683.00	0.053
684.00	0.053
685.00	0.053
686.00	0.054
687.00	0.053
688.00	0.054
689.00	0.054
690.00	0.054
691.00	0.054
692.00	0.054
693.00	0.054
694.00	0.054
695.00	0.054
696.00	0.054
697.00	0.054
698.00	0.054
699.00	0.054
700.00	0.054
