"red_8mg_L.spc - RawData"
"Wavelength nm."	"Abs."
400.00	0.148
401.00	0.149
402.00	0.148
403.00	0.148
404.00	0.149
405.00	0.148
406.00	0.149
407.00	0.149
408.00	0.149
409.00	0.149
410.00	0.149
411.00	0.149
412.00	0.149
413.00	0.149
414.00	0.149
415.00	0.149
416.00	0.150
417.00	0.150
418.00	0.150
419.00	0.150
420.00	0.150
421.00	0.151
422.00	0.151
423.00	0.151
424.00	0.151
425.00	0.151
426.00	0.151
427.00	0.151
428.00	0.151
429.00	0.152
430.00	0.152
431.00	0.152
432.00	0.152
433.00	0.153
434.00	0.153
435.00	0.154
436.00	0.155
437.00	0.156
438.00	0.157
439.00	0.158
440.00	0.159
441.00	0.161
442.00	0.163
443.00	0.164
444.00	0.167
445.00	0.169
446.00	0.171
447.00	0.173
448.00	0.176
449.00	0.178
450.00	0.181
451.00	0.184
452.00	0.187
453.00	0.191
454.00	0.194
455.00	0.197
456.00	0.201
457.00	0.204
458.00	0.208
459.00	0.212
460.00	0.216
461.00	0.220
462.00	0.224
463.00	0.228
464.00	0.232
465.00	0.236
466.00	0.240
467.00	0.244
468.00	0.248
469.00	0.252
470.00	0.256
471.00	0.260
472.00	0.264
473.00	0.268
474.00	0.272
475.00	0.277
476.00	0.281
477.00	0.285
478.00	0.289
479.00	0.293
480.00	0.297
481.00	0.301
482.00	0.305
483.00	0.308
484.00	0.312
485.00	0.316
486.00	0.319
487.00	0.323
488.00	0.327
489.00	0.331
490.00	0.334
491.00	0.337
492.00	0.340
493.00	0.343
494.00	0.345
495.00	0.348
496.00	0.350
497.00	0.352
498.00	0.353
499.00	0.354
500.00	0.355
501.00	0.356
502.00	0.356
503.00	0.357
504.00	0.356
505.00	0.356
506.00	0.355
507.00	0.355
508.00	0.354
509.00	0.352
510.00	0.351
511.00	0.350
512.00	0.348
513.00	0.347
514.00	0.345
515.00	0.344
516.00	0.342
517.00	0.340
518.00	0.339
519.00	0.337
520.00	0.335
521.00	0.333
522.00	0.331
523.00	0.328
524.00	0.326
525.00	0.323
526.00	0.321
527.00	0.318
528.00	0.315
529.00	0.312
530.00	0.308
531.00	0.305
532.00	0.301
533.00	0.297
534.00	0.293
535.00	0.289
536.00	0.284
537.00	0.279
538.00	0.273
539.00	0.268
540.00	0.262
541.00	0.256
542.00	0.250
543.00	0.243
544.00	0.237
545.00	0.230
546.00	0.223
547.00	0.216
548.00	0.209
549.00	0.202
550.00	0.195
551.00	0.188
552.00	0.182
553.00	0.175
554.00	0.168
555.00	0.161
556.00	0.155
557.00	0.148
558.00	0.142
559.00	0.136
560.00	0.130
561.00	0.124
562.00	0.119
563.00	0.114
564.00	0.109
565.00	0.104
566.00	0.100
567.00	0.096
568.00	0.092
569.00	0.089
570.00	0.086
571.00	0.083
572.00	0.081
573.00	0.079
574.00	0.077
575.00	0.075
576.00	0.073
577.00	0.072
578.00	0.070
579.00	0.069
580.00	0.068
581.00	0.066
582.00	0.066
583.00	0.065
584.00	0.064
585.00	0.063
586.00	0.063
587.00	0.062
588.00	0.061
589.00	0.061
590.00	0.061
591.00	0.060
592.00	0.060
593.00	0.059
594.00	0.059
595.00	0.059
596.00	0.059
597.00	0.058
598.00	0.058
599.00	0.058
600.00	0.058
601.00	0.058
602.00	0.057
603.00	0.057
604.00	0.057
605.00	0.057
606.00	0.057
607.00	0.057
608.00	0.057
609.00	0.057
610.00	0.056
611.00	0.056
612.00	0.056
613.00	0.056
614.00	0.056
615.00	0.056
616.00	0.056
617.00	0.056
618.00	0.056
619.00	0.055
620.00	0.055
621.00	0.055
622.00	0.055
623.00	0.055
624.00	0.055
625.00	0.055
626.00	0.055
627.00	0.055
628.00	0.055
629.00	0.055
630.00	0.055
631.00	0.055
632.00	0.055
633.00	0.054
634.00	0.054
635.00	0.054
636.00	0.054
637.00	0.054
638.00	0.054
639.00	0.054
640.00	0.054
641.00	0.054
642.00	0.054
643.00	0.054
644.00	0.054
645.00	0.054
646.00	0.054
647.00	0.054
648.00	0.054
649.00	0.054
650.00	0.053
651.00	0.054
652.00	0.054
653.00	0.053
654.00	0.054
655.00	0.054
656.00	0.053
657.00	0.053
658.00	0.054
659.00	0.053
660.00	0.053
661.00	0.053
662.00	0.053
663.00	0.053
664.00	0.053
665.00	0.053
666.00	0.053
667.00	0.053
668.00	0.053
669.00	0.053
670.00	0.053
671.00	0.053
672.00	0.053
673.00	0.053
674.00	0.053
675.00	0.053
676.00	0.053
677.00	0.053
678.00	0.053
679.00	0.053
680.00	0.053
681.00	0.053
682.00	0.053
683.00	0.053
684.00	0.053
685.00	0.053
686.00	0.053
687.00	0.053
688.00	0.053
689.00	0.053
690.00	0.053
691.00	0.053
692.00	0.053
693.00	0.053
694.00	0.054
695.00	0.054
696.00	0.054
697.00	0.054
698.00	0.054
699.00	0.054
700.00	0.054
